seed,frobenius,mmd,intra_similarity,inter_similarity,separation_ratio
0,0.8965961249849645,0.46178292675961896,0.14362934413059772,0.03700760840725792,3.881076084570096
1,0.8965412083617729,0.46009355016897896,0.14313085225593683,0.037287814802389456,3.838542237525748
2,0.896947581077907,0.45967653946577053,0.1432102135830989,0.03755895311548584,3.8129447578613425
3,0.8924695348346762,0.45963024410633746,0.14299690811819965,0.03736692746957397,3.8268307728349726
4,0.8968599518964345,0.4607885784907313,0.14337371935819732,0.0372106623244429,3.853027874523124
5,0.8922335492796668,0.4597257874099826,0.14277040249649461,0.03709650269163036,3.8486216205031942
6,0.8936206320526201,0.4590856138481606,0.14272011553337355,0.03734031511220235,3.8221454455703596
7,0.8910776130779166,0.4560849340265355,0.14173810799710362,0.03773137447410902,3.7565052899553915
8,0.8923898879873872,0.45847098384640517,0.14264714694908723,0.037549325434541876,3.798927014223239
9,0.89855725616906,0.4601241421949681,0.14373186992409492,0.037874756808767306,3.7949252178716937
